Country,Cluster
AFGHANISTAN,1
ALBANIA,2
ALGERIA,0
ANGOLA,1
ARGENTINA,0
ARMENIA,2
AUSTRALIA,0
AZERBAIJAN,0
BAHRAIN,0
BANGLADESH,-1
BARBADOS,0
BELARUS,0
BELIZE,0
BENIN,1
BHUTAN,1
BOLIVIA (PLURINATIONAL STATE OF),0
BOSNIA AND HERZEGOVINA,2
BOTSWANA,0
BRAZIL,0
BRUNEI DARUSSALAM,0
BULGARIA,0
BURKINA FASO,1
BURUNDI,1
CABO VERDE,0
CAMBODIA,1
CAMEROON,1
CANADA,0
CENTRAL AFRICAN REPUBLIC (THE),1
CHAD,1
CHILE,0
CHINA,-1
COLOMBIA,0
COMOROS (THE),-1
CONGO (THE),1
COSTA RICA,0
COTE D'IVOIRE,1
CUBA,0
CZECHIA,0
DEMOCRATIC PEOPLE'S REP. OF KOREA (THE),-1
DEMOCRATIC REP. OF THE CONGO (THE),1
DJIBOUTI,-1
DOMINICAN REPUBLIC (THE),0
ECUADOR,0
EGYPT,-1
EL SALVADOR,0
EQUATORIAL GUINEA,0
ERITREA,1
ESWATINI,0
ETHIOPIA,1
FIJI,0
GABON,0
GAMBIA (THE),1
GEORGIA,2
GERMANY,0
GHANA,1
GUATEMALA,-1
GUINEA,1
GUINEA-BISSAU,1
GUYANA,0
HAITI,1
HONDURAS,-1
INDIA,-1
INDONESIA,1
IRAN (ISLAMIC REPUBLIC OF),0
IRAQ,0
JAMAICA,0
JAPAN,0
JORDAN,0
KAZAKHSTAN,0
KENYA,1
KIRIBATI,-1
KUWAIT,0
KYRGYZSTAN,0
LAO PEOPLE'S DEMOCRATIC REP. (THE),1
LEBANON,2
LESOTHO,1
LIBERIA,1
LIBYA,2
MADAGASCAR,1
MALAWI,1
MALAYSIA,0
MALDIVES,1
MALI,1
MARSHALL ISLANDS,0
MAURITANIA,1
MAURITIUS,-1
MEXICO,0
MONGOLIA,0
MONTENEGRO,2
MOROCCO,0
MOZAMBIQUE,1
MYANMAR,1
NAMIBIA,-1
NAURU,0
NEPAL,1
NICARAGUA,0
NIGER (THE),1
NIGERIA,1
NORTH MACEDONIA,0
OMAN,0
PAKISTAN,1
PANAMA,0
PAPUA NEW GUINEA,1
PARAGUAY,0
PERU,0
PHILIPPINES (THE),1
POLAND,0
QATAR,0
REPUBLIC OF KOREA (THE),0
REPUBLIC OF MOLDOVA (THE),0
ROMANIA,0
RWANDA,1
SAINT LUCIA,0
SAMOA,0
SAO TOME AND PRINCIPE,0
SAUDI ARABIA,-1
SENEGAL,1
SERBIA,2
SEYCHELLES,0
SIERRA LEONE,1
SINGAPORE,0
SOLOMON ISLANDS,1
SOMALIA,1
SOUTH AFRICA,0
SOUTH SUDAN,-1
SRI LANKA,-1
STATE OF PALESTINE,0
SUDAN (THE),1
SURINAME,0
SYRIAN ARAB REPUBLIC (THE),-1
TAJIKISTAN,1
THAILAND,0
TIMOR-LESTE,-1
TOGO,1
TONGA,2
TRINIDAD AND TOBAGO,0
TUNISIA,0
TURKEY,0
TURKMENISTAN,0
TUVALU,0
UGANDA,1
UKRAINE,2
UNITED REPUBLIC OF TANZANIA (THE),1
UNITED STATES OF AMERICA (THE),0
URUGUAY,0
UZBEKISTAN,0
VANUATU,1
VENEZUELA (BOLIVARIAN REPUBLIC OF),0
VIET NAM,1
YEMEN,1
ZAMBIA,1
ZIMBABWE,1
